customer_id,first_name,last_name,email,phone,address,city,state,zip_code,date_of_birth,registration_date
1,Daniel,Norris,chavezjoshua@example.org,308.975.4485x204,20574 Benson Manors Suite 929,Laurachester,MD,90099,1969-12-18,2025-12-24
2,Christopher,Allen,webertanya@example.org,001-608-525-4203x97574,1513 Eddie Point,Andrewtown,OK,74534,1996-08-25,2024-06-17
3,Annette,Ward,christinemartin@example.net,397-472-8004x55859,3171 Thomas Summit,Ericshire,LA,73874,1991-05-22,2023-05-03
4,Terrence,Lopez,qjones@example.net,(516)424-0072,7925 Webster Row,Ibarraburgh,PA,27655,1975-04-30,2025-01-21
5,Nicholas,Thompson,martinshelia@example.org,+1-988-528-7127,1188 Bush Skyway,Johnshire,AS,10637,1990-06-01,2024-02-28
6,Trevor,Lutz,suttonlauren@example.com,(764)900-4136x61146,6241 Lisa Cliff,Frenchmouth,NC,29895,1968-07-05,2025-11-10
7,Bethany,Jones,nichole96@example.org,001-758-826-8947x91916,59065 Jon Junctions,North Rebecca,GU,96705,1946-01-25,2025-01-30
8,George,Flores,jeffrey22@example.org,(820)913-4572,694 Marshall Knolls,North Kennethview,AK,23445,1982-03-27,2023-04-03
9,Michael,Young,hornjacob@example.org,+1-501-911-9551x45377,3000 Judy Landing,Douglasfort,DC,80987,1982-12-11,2024-02-14
10,Linda,Kline,vwade@example.org,(557)455-9125x273,5999 Sara Ports Suite 550,Randallport,WV,94673,1957-03-01,2023-12-03
11,Jill,Murphy,lgarcia@example.org,(919)620-9069x23400,98267 Christine Shoal,Evansland,HI,44602,1997-09-29,2025-11-05
12,James,Montgomery,smithmatthew@example.com,(801)421-0039,785 James Lock Suite 880,New Phillipburgh,MA,28229,2006-05-11,2023-12-15
13,Sean,Kemp,aimeelam@example.com,(500)647-3358x7970,2833 Jessica Grove,West Lauraburgh,IA,50811,1976-12-10,2023-05-01
14,Carmen,Wagner,ryan89@example.net,+1-895-621-8297x927,608 Joshua Knolls,Sarahshire,VA,76613,1997-06-04,2025-12-11
15,Paul,Mendoza,nfrancis@example.com,314.839.0460,170 Oscar Island,North Melissa,FM,51666,1950-10-08,2025-04-05
16,Bryan,Johnson,parkerjustin@example.org,428-308-2826x9775,9801 Arnold Station,North Andre,MS,68713,1967-03-14,2024-07-06
17,Ryan,Reid,heathernorris@example.net,955-619-4453x27633,353 Ball Knoll Suite 554,South Jerome,KY,88391,2002-03-18,2025-12-26
18,Julie,Carr,kward@example.net,+1-847-799-4983x815,16888 Torres Glens,Kingberg,AS,64469,1970-04-04,2023-09-23
19,Louis,Carson,meyerjose@example.com,+1-369-546-9871,64579 Tanner Estates Apt. 284,Olsonborough,GU,90374,1956-12-10,2025-10-11
20,Eduardo,Hunter,hornejeffrey@example.com,8422592680,00714 Justin Haven,Jamesmouth,OH,49924,1976-11-26,2024-06-26
21,Joseph,Gonzalez,harringtonmichelle@example.net,276.368.0243x1617,185 Richard Underpass,North Matthew,AZ,49154,1969-11-25,2023-03-29
22,Joe,Smith,campbellrichard@example.net,001-438-200-4058x2262,3383 Samantha Cove,New Janetmouth,WA,02811,1992-02-23,2024-10-13
23,Emily,Vaughan,kennethwilson@example.net,695-528-2788x3667,31930 Janet Rapid Apt. 380,Lawrencetown,ND,60559,1999-04-12,2023-08-04
24,Angela,Richardson,ibrown@example.net,207-447-3342x40106,42714 Clark Inlet,West Bradleymouth,SC,54652,1980-03-21,2024-06-05
25,James,Woodward,ureed@example.com,+1-358-950-4121x064,99505 Hunter Squares,South Erica,RI,01441,2007-07-20,2024-10-23
26,Christopher,Anderson,michael90@example.net,(518)302-4304,930 Joseph Ramp Suite 880,Port Davidton,OH,90281,1993-01-02,2023-10-28
27,Nicholas,Perez,melissa48@example.com,449-336-3355,63084 James Shores,Scottton,ID,11490,1949-12-01,2026-01-02
28,Jeremy,Dalton,yorkchloe@example.com,+1-996-774-9943x107,1241 Black Inlet Apt. 492,East John,OR,62062,1981-08-01,2023-04-15
29,Shari,Meza,adamreeves@example.com,457.662.1273x767,0073 Smith Tunnel,Lake Ashley,VI,59378,1956-08-13,2025-11-17
30,Felicia,Adams,wkennedy@example.org,001-734-664-8592x58135,782 Leslie Fall,West Travisside,MN,37034,1982-12-14,2025-10-25
31,Brittany,Graham,carterashley@example.org,293-310-3217x169,76387 Flynn Garden,Oconnorside,NH,36584,1989-05-12,2025-05-11
32,Michaela,Alvarez,richardsstephanie@example.org,(817)286-6908,64045 Morales Heights,Royton,AK,37834,1979-10-30,2023-08-31
33,Jeffrey,Young,alex73@example.com,001-558-689-0877x3712,2331 Gary Spring Apt. 675,Johnsonhaven,TX,12719,1959-05-02,2025-09-07
34,Edward,Mccoy,nealanthony@example.org,001-689-221-2990x0086,056 Amanda Burgs,Michealport,TX,12198,1990-08-23,2025-08-03
35,Scott,Bell,jenniferjohnson@example.net,001-942-396-0094x723,33356 Diane Curve Suite 974,West Natalie,MA,71327,1981-06-16,2024-02-01
36,Bradley,Brown,kellynewman@example.org,284-430-8079,65241 Edward Pine,Brittanystad,VA,65911,2004-10-29,2024-02-08
