supplier_id,company_name,contact_name,email,phone,address,city,state,country,industry,rating,contract_start_date
1,"Jones, Contreras and Moore",Melissa Duncan,zhangbradley@gibson.net,370-547-8173x0383,387 Green Rue,North Karaville,CO,Australia,Wholesale,4.9,2022-03-18
2,"Obrien, Sanchez and York",Michele Garza,crystalflores@young.com,546.689.9974,7643 Alexander Point Apt. 340,West Angela,HI,Paraguay,Technology,2.4,2022-02-17
3,Farrell LLC,Michelle Hernandez,pattongeorge@chaney-alexander.net,(705)830-9868x0354,54987 Carrillo Streets,East Catherinestad,AK,Palestinian Territory,Raw Materials,1.5,2022-10-07
4,"Adams, Marshall and Hammond",Rodney Smith,joshua66@williams.info,4695810241,890 Kelley River,Kimberlyshire,OH,Falkland Islands (Malvinas),Agriculture,4.2,2023-10-24
5,Raymond-Walton,Stacey Salinas,william78@guerrero-williams.com,(403)352-0893x05877,35372 Rodriguez Route,Jacksonstad,VT,Sao Tome and Principe,Distribution,2.8,2026-02-22
6,Crawford Inc,Kathleen Taylor,steelegregory@evans.biz,001-612-843-0368x62144,65028 Lane Stravenue,East Katie,CT,Nauru,Raw Materials,3.5,2021-04-19
7,Garcia Inc,Matthew Peterson,floresmax@myers-baker.com,201-635-8654,091 Tracy Crescent Suite 935,Amyview,SD,Afghanistan,Distribution,2.9,2024-07-18
8,Morrow PLC,Nicholas Patrick,claire19@thompson.com,001-334-375-2182x6890,741 Rick Brook Suite 727,Schroederburgh,PW,Syrian Arab Republic,Raw Materials,2.2,2023-08-10
9,Davis-Malone,Joseph Harrison,ijohnson@brown.info,920-302-0840,5441 Moss Freeway,South Shannon,UT,Bouvet Island (Bouvetoya),Chemicals,2.9,2021-08-27
10,Figueroa-Khan,Eric Harrison,vhawkins@santana-king.com,(714)405-6332,77169 Gary Way Apt. 103,Washingtonmouth,WI,Cuba,Packaging,4.3,2024-09-17
11,Clark-Adams,Sabrina Marsh,melissasmith@keith-olson.com,787-269-4376,85158 Lisa Light Apt. 014,East Eric,PR,Georgia,Import/Export,2.1,2023-01-29
12,Schneider PLC,Beth Mcdowell,rojasjulie@payne.com,001-831-962-6258,99557 Reeves Skyway Apt. 334,Lake Rebecca,WY,Germany,Manufacturing,3.7,2021-03-29
13,Robinson-Bates,Alyssa Davis,brent20@day.com,001-370-954-8890,112 Farmer Ferry,Lake Christopher,MP,New Caledonia,Manufacturing,4.1,2022-02-05
14,"Johnson, Esparza and Barrett",Yolanda Gonzalez MD,anthonywilcox@west-higgins.com,7483217300,01713 Daniels Mall,Loganfort,GA,Jamaica,Technology,3.0,2021-11-15
15,Ruiz LLC,Michelle Weber,enguyen@lara-martin.info,+1-889-382-2736x638,591 Mark Streets,Lake Susanton,MD,Zambia,Textiles,1.2,2022-12-20
16,"Clark, Dominguez and Mitchell",Laurie Pope,wrightdavid@houston.com,+1-268-505-4084x8550,6922 Clark Branch Apt. 406,Kevinfort,AR,Liberia,Manufacturing,3.1,2022-12-10
17,Nelson Group,Joel Reynolds,katherine67@simmons.org,+1-478-232-5975x614,116 Gross Lane,Emilymouth,WI,Israel,Distribution,2.6,2023-02-26
18,Estes-Hess,Audrey Schmidt,nancy64@adams.com,664.480.8002x97419,68593 Rebecca Mall Apt. 118,Gilbertbury,DE,Nigeria,Manufacturing,3.3,2024-04-27
19,Holmes Inc,Ryan Cordova,ronaldgolden@mccarthy.com,6902003606,4391 Kelsey Hill Apt. 498,Port Rickeyville,UT,Tonga,Distribution,3.4,2021-06-23
20,"Roberts, Atkins and Rodriguez",Mrs. Diana White,rrobertson@simon.com,+1-200-433-1217x5186,92289 Copeland Square Apt. 195,South Shawnhaven,MO,Monaco,Import/Export,1.1,2022-09-13
21,Collins-Garcia,Kellie Escobar,jeremystephens@lester.info,295-928-1826,87988 Tara Overpass Apt. 300,Amandamouth,NH,Indonesia,Import/Export,1.4,2022-07-24
22,Stewart and Sons,William Peterson,kpierce@brown.com,7484669603,2247 Michelle Corner,West Autumnport,AK,Holy See (Vatican City State),Packaging,1.2,2025-04-09
23,White Ltd,Christopher Wilson,gillkendra@wheeler.com,385.713.6795x34023,18794 Sparks Roads Apt. 870,Port Ericburgh,KY,Congo,Packaging,1.9,2022-03-03
24,"Richards, Marquez and Castaneda",Eric Johnson,johnsonchristian@fitzgerald.com,(302)328-3794,963 Snyder Forge Suite 573,Deannabury,MP,United Kingdom,Packaging,4.9,2023-12-17
25,Young PLC,Diana Maldonado,nicolecalderon@davis.com,(985)410-2101x956,112 Nicholas Spur Apt. 196,South Christopher,UT,South Georgia and the South Sandwich Islands,Raw Materials,3.0,2022-07-24
26,Blackburn-Murray,Stephanie Lucas,stephen74@davis.com,398.312.3985x328,57201 Donald Isle,New Anthony,ND,Papua New Guinea,Manufacturing,3.6,2025-05-19
27,"Perez, Coleman and Hill",Miranda Turner,danielwalker@fisher.com,324-531-4378x0712,42221 Michael Well,East Sandra,PA,Jordan,Manufacturing,2.0,2025-10-16
28,Gonzalez-Jones,Susan Nguyen,pmartin@davidson.com,+1-451-622-9400,09284 Nicholas Inlet,East Kyleville,NC,Belgium,Raw Materials,2.4,2025-09-15
29,Patton LLC,Erica Stevenson,james29@todd.com,(298)568-7336x64514,30270 Rachel Drive Apt. 320,East Amy,MH,Wallis and Futuna,Technology,4.8,2023-08-19
30,"Foster, Miller and Barrett",Candace Robbins MD,fisheralexander@bennett.com,(557)374-9057,112 Keith Viaduct,West Austinside,VI,Mauritania,Agriculture,1.4,2025-08-06
31,"Wilson, Jackson and Marshall",David Frey,james21@brown.com,266-289-4078x1599,0301 Heather Mission,Lake Jeffreybury,MS,Somalia,Agriculture,4.6,2021-11-15
32,"Harding, Simpson and Owen",Dwayne Burton,ychandler@le.com,(795)753-6042,691 Christopher Course Suite 768,Coxport,NM,Italy,Agriculture,2.1,2024-06-06
33,"Mcpherson, Allen and Foster",Steven Jordan,jenniferhoffman@strickland-bass.info,814.997.5431,039 Ashley Square Apt. 723,Fisherfort,CA,Tokelau,Import/Export,2.1,2024-01-25
34,"Beck, Cook and Camacho",Joshua Evans,csoto@sharp.com,+1-622-300-7176x24376,030 Kaylee Cape Apt. 661,North Regina,FL,Saint Vincent and the Grenadines,Textiles,2.7,2021-04-26
35,Hays-Jimenez,Stephanie Vazquez,larry39@morris-turner.com,611-776-4744x521,7928 Charles Knoll Apt. 074,South Lisaville,NJ,Iraq,Textiles,1.3,2025-02-24
36,Castillo-Soto,Kayla Hartman,meyerskimberly@pineda.com,(649)463-4210x43661,1378 Robin Via,North Thomasstad,MT,Western Sahara,Agriculture,1.0,2022-11-10
37,"Archer, Williams and Jackson",Michael Hatfield,alejandro53@kemp.biz,366-750-5346x349,47448 Rodriguez Vista,Watsonport,DC,Thailand,Import/Export,4.7,2023-10-04
38,Bush LLC,Roger Hunter,htaylor@osborne.com,+1-700-773-5015x88822,972 Ross Springs Apt. 956,Shawntown,ME,Saint Martin,Distribution,4.9,2021-11-30
39,"Stewart, Allison and Lowe",Amanda Austin,kaitlyn98@drake-smith.com,001-388-793-5546x14590,9610 Gerald Burgs,North Wendyville,AL,Guernsey,Chemicals,2.9,2025-11-25
40,Jones-Tucker,Susan Jordan,bhodges@arnold.com,6224170496,63625 Judy Cove Apt. 972,North Jeffrey,TN,Lao People's Democratic Republic,Chemicals,2.0,2022-02-28
41,Smith-West,Rachel Richards,kwilliams@alvarez-rodriguez.com,(365)706-6434x415,3854 Matthew Mill Apt. 694,Jasonberg,KY,Romania,Distribution,4.8,2024-07-01
42,Sullivan-Graham,Tanya Torres,qcunningham@miller.com,645-902-7002x1896,1534 Campos Club Apt. 470,Juliestad,NJ,Holy See (Vatican City State),Raw Materials,1.3,2025-10-01
43,King PLC,Danielle Wilson,lawrenceoconnor@edwards.info,381.849.0420x94015,2946 Jackson Avenue,Monicaborough,MP,Lithuania,Agriculture,1.4,2022-04-26
